datetime,nuclear_power,not_renewable,renewable,energy_price,date,hour,dayofweek,month
2020-01-01 00:00:00,8089.585,29700.989,14524.769,38.6,2020-01-01,0,2,1
2020-01-01 00:15:00,8087.935,29597.398,14407.463,38.6,2020-01-01,0,2,1
2020-01-01 00:30:00,8088.635,29433.049,14537.378,38.6,2020-01-01,0,2,1
2020-01-01 00:45:00,8086.715,29319.558,14695.598,38.6,2020-01-01,0,2,1
2020-01-01 01:00:00,8093.394,29202.803,14902.589,36.55,2020-01-01,1,2,1
2020-01-01 01:15:00,8090.135,29144.575,14898.388,36.55,2020-01-01,1,2,1
2020-01-01 01:30:00,8076.207,29123.509,14975.325,36.55,2020-01-01,1,2,1
2020-01-01 01:45:00,8064.899,29243.764,15021.521,36.55,2020-01-01,1,2,1
2020-01-01 02:00:00,8080.356,29402.351,15004.099,32.32,2020-01-01,2,2,1
2020-01-01 02:15:00,8072.587,29418.973,14981.647,32.32,2020-01-01,2,2,1
2020-01-01 02:30:00,8069.638,29420.524,15080.745,32.32,2020-01-01,2,2,1
2020-01-01 02:45:00,8063.209,29415.601,15245.209,32.32,2020-01-01,2,2,1
2020-01-01 03:00:00,8074.757,29345.464,15263.648,30.85,2020-01-01,3,2,1
2020-01-01 03:15:00,8073.947,29334.445,15290.913,30.85,2020-01-01,3,2,1
2020-01-01 03:30:00,8069.668,29375.237,15334.105,30.85,2020-01-01,3,2,1
2020-01-01 03:45:00,8070.738,29405.357,15340.243,30.85,2020-01-01,3,2,1
2020-01-01 04:00:00,8068.798,29404.404,15338.186,30.14,2020-01-01,4,2,1
2020-01-01 04:15:00,8066.578,29404.527,15310.376,30.14,2020-01-01,4,2,1
2020-01-01 04:30:00,8070.918,29490.208,15355.791,30.14,2020-01-01,4,2,1
2020-01-01 04:45:00,8069.368,29446.361,15276.68,30.14,2020-01-01,4,2,1
2020-01-01 05:00:00,8073.897,29475.965,15251.962,30.17,2020-01-01,5,2,1
2020-01-01 05:15:00,8070.508,29484.372,15083.155,30.17,2020-01-01,5,2,1
2020-01-01 05:30:00,8072.117,29358.262,15085.35,30.17,2020-01-01,5,2,1
2020-01-01 05:45:00,8083.476,29356.632,15029.132,30.17,2020-01-01,5,2,1
2020-01-01 06:00:00,8094.894,29582.377,15104.057,30.0,2020-01-01,6,2,1
2020-01-01 06:15:00,8098.013,29580.991,15149.572,30.0,2020-01-01,6,2,1
2020-01-01 06:30:00,8084.066,29680.061,15041.492,30.0,2020-01-01,6,2,1
2020-01-01 06:45:00,8090.235,30022.327,14946.061,30.0,2020-01-01,6,2,1
2020-01-01 07:00:00,8094.734,30240.738,14926.927,30.65,2020-01-01,7,2,1
2020-01-01 07:15:00,8096.993,30397.411,15095.561,30.65,2020-01-01,7,2,1
2020-01-01 07:30:00,8096.324,30455.208,15487.99,30.65,2020-01-01,7,2,1
2020-01-01 07:45:00,8095.614,30524.955,16051.968,30.65,2020-01-01,7,2,1
2020-01-01 08:00:00,8093.984,30594.572,16919.767,30.65,2020-01-01,8,2,1
2020-01-01 08:15:00,8100.303,30640.686,17826.531,30.65,2020-01-01,8,2,1
2020-01-01 08:30:00,8098.203,30723.948,18776.048,30.65,2020-01-01,8,2,1
2020-01-01 08:45:00,8093.624,30756.601,20027.643,30.65,2020-01-01,8,2,1
2020-01-01 09:00:00,8082.916,30776.932,21016.647,30.27,2020-01-01,9,2,1
2020-01-01 09:15:00,8078.916,30839.806,21861.242,30.27,2020-01-01,9,2,1
2020-01-01 09:30:00,8056.2,30867.769,22716.882,30.27,2020-01-01,9,2,1
2020-01-01 09:45:00,7980.412,30895.318,23678.484,30.27,2020-01-01,9,2,1
2020-01-01 10:00:00,7938.099,30854.117,24400.346,30.34,2020-01-01,10,2,1
2020-01-01 10:15:00,7794.422,30686.715,25156.84,30.34,2020-01-01,10,2,1
2020-01-01 10:30:00,7798.991,30513.746,25844.0,30.34,2020-01-01,10,2,1
2020-01-01 10:45:00,7729.692,30369.498,26291.94,30.34,2020-01-01,10,2,1
2020-01-01 11:00:00,7645.066,30430.51,26555.904,30.99,2020-01-01,11,2,1
2020-01-01 11:15:00,7683.59,30473.457,26866.727,30.99,2020-01-01,11,2,1
2020-01-01 11:30:00,7720.784,30497.478,27202.651,30.99,2020-01-01,11,2,1
2020-01-01 11:45:00,7673.481,30416.483,27279.472,30.99,2020-01-01,11,2,1
2020-01-01 12:00:00,7759.657,30147.649,27220.439,30.04,2020-01-01,12,2,1
2020-01-01 12:15:00,7875.849,30162.042,26750.164,30.04,2020-01-01,12,2,1
2020-01-01 12:30:00,7984.911,30445.864,26329.225,30.04,2020-01-01,12,2,1
2020-01-01 12:45:00,8045.532,30651.424,25401.14,30.04,2020-01-01,12,2,1
2020-01-01 13:00:00,8049.161,31080.152,24391.286,30.75,2020-01-01,13,2,1
2020-01-01 13:15:00,8073.807,31397.726,23262.439,30.75,2020-01-01,13,2,1
2020-01-01 13:30:00,8087.995,31480.533,22095.916,30.75,2020-01-01,13,2,1
2020-01-01 13:45:00,8088.125,31735.557,20796.095,30.75,2020-01-01,13,2,1
2020-01-01 14:00:00,8083.786,31761.42,19470.292,32.11,2020-01-01,14,2,1
2020-01-01 14:15:00,8091.484,32114.31,18059.658,32.11,2020-01-01,14,2,1
2020-01-01 14:30:00,8093.664,32186.335,16944.315,32.11,2020-01-01,14,2,1
2020-01-01 14:45:00,8085.895,32367.511,16075.132,32.11,2020-01-01,14,2,1
2020-01-01 15:00:00,8086.895,32583.196,15762.302,35.98,2020-01-01,15,2,1
2020-01-01 15:15:00,8089.395,32736.059,15985.26,35.98,2020-01-01,15,2,1
2020-01-01 15:30:00,8088.025,32810.502,16400.01,35.98,2020-01-01,15,2,1
2020-01-01 15:45:00,8088.215,32928.484,16904.879,35.98,2020-01-01,15,2,1
2020-01-01 16:00:00,8074.117,32820.597,17474.336,40.4,2020-01-01,16,2,1
